,krankenhausStandort/bezeichnung,bettenStatus/statusHighCare,krankenhausStandort/position/latitude,krankenhausStandort/position/longitude,free_icu_beds_percent,staff_utilization_percent
435,"St. Vincenz-Krankenhaus, Krankenhaus",VERFUEGBAR,51.652308893282004,7.344830811007,55,96
436,"KKRN Katholisches Klinikum Ruhrgebiet Nord GmbH, St. Sixtus-Hospital Haltern am See",VERFUEGBAR,51.745666700443,7.194133043322,52,100
437,"KKRN Katholisches Klinikum Ruhrgebiet Nord GmbH, Marien-Hospital Marl",VERFUEGBAR,51.652448679853,7.083754777941,55,95
438,"Klinikum Vest GmbH, Paracelsus-Klinik Marl",VERFUEGBAR,51.662106222311,7.123744368537,45,96
439,"Evangelische Kliniken Gelsenkirchen GmbH, Hauptstandort",VERFUEGBAR,51.509895995494006,7.089296758159,36,91
440,"Marienhospital Gelsenkirchen GmbH, Marienhospital Gelsenkirchen",VERFUEGBAR,51.495339621896,7.1014176160039995,55,92
441,Bergmannsheil und Kinderklinik Buer GmbH,VERFUEGBAR,51.571311870304,7.060216623239999,56,99
442,"Sankt Marien-Hospital Buer GmbH, Sankt Marien-Hospital Gelsenkirchen-Buer",VERFUEGBAR,51.581514913571,7.048548638803999,42,99
443,Helios St. Elisabeth Klinik Oberhausen,VERFUEGBAR,51.461968759807995,6.854539632732,44,95
444,"Ev. Krankenhaus Oberhausen GmbH, Evangelisches Krankenhaus Oberhausen GmbH",VERFUEGBAR,51.474229698028005,6.866135358778,49,92
445,"Evangelisches Klinikum Niederrhein gGmbH, Johanniter Krankenhaus Oberhausen",VERFUEGBAR,51.509680648604004,6.854187659919,37,100
446,"Katholisches Klinikum Oberhausen gGmbH, St. Clemens-Hospital",VERFUEGBAR,51.517305645458,6.844843983617,40,97
447,Marienhospital Bottrop gGmbH,VERFUEGBAR,51.534730847329996,6.917582273418,36,94
448,"Knappschaftskrankenhaus Bottrop GmbH, Knappschaftskrankenhaus Bottrop",VERFUEGBAR,51.514923805628996,6.907340526614,53,98
449,"KKRN Katholisches Klinikum Ruhrgebiet Nord GmbH, St. Elisabeth-Krankenhaus  Dorsten",VERFUEGBAR,51.657104657625,6.956027984652,37,99
450,St. Marien-Hospital Borken,VERFUEGBAR,51.842003881785004,6.8610777855250005,39,94
451,"St. Agnes-Hospital Bocholt-Rhede, St. Agnes-Hospital Bocholt",VERFUEGBAR,51.85521940875,6.627452015909999,44,97
452,St. Willibrord-Spital Emmerich-Rees gGmbH,VERFUEGBAR,51.832762637954,6.2401576638059995,50,98
453,Evangelisches Krankenhaus Wesel GmbH,VERFUEGBAR,51.660077377416,6.654883503979,45,93
454,"Sankt Josef-Hospital GmbH, Hauptstandort",VERFUEGBAR,51.643185223281,6.452771007998001,46,91
455,"Evangelisches Klinikum Niederrhein gGmbH, Evangelisches Krankenhaus Dinslaken",VERFUEGBAR,51.55885679063599,6.731305941939,47,97
456,"St. Vinzenz-Hospital, Tagesklinik Dinslaken",VERFUEGBAR,51.559714323832,6.7276141536419996,60,99
457,"Evangelisches Krankenhaus BETHESDA gGmbH, Hauptstandort",VERFUEGBAR,51.416585676825,6.761754378676,48,96
458,"Sana Kliniken Duisburg GmbH, Wedau-Kliniken",VERFUEGBAR,51.396954869070996,6.783368825945,39,91
459,"Evangelisches Klinikum Niederrhein gGmbH, Herzzentrum Duisburg",VERFUEGBAR,51.462366481621,6.775759868323999,47,93
460,"Helios Klinikum Duisburg, Helios St. Johannes Klinik",VERFUEGBAR,51.490235137469995,6.762057065898,42,97
461,"Evangelisches Klinikum Niederrhein gGmbH, Evangelisches Krankenhaus Duisburg-Nord",VERFUEGBAR,51.514985564787,6.766582354903001,43,96
462,"Malteser Klinikum Duisburg, Malteser Krankenhaus St. Johannes-Stift",VERFUEGBAR,51.453313274264005,6.7103000879620005,49,98
463,Johanniter Krankenhaus Rheinhausen,VERFUEGBAR,51.412115820394,6.699273203703001,60,94
464,"Malteser Klinikum Duisburg, Malteser Krankenhaus St. Anna",VERFUEGBAR,51.364504496386004,6.754266858134001,64,96
465,"Krankenhaus Bethanien Moers, Hauptstandort Moers",VERFUEGBAR,51.460971097824,6.633981049044,50,93
466,St. Josef Krankenhaus Moers,VERFUEGBAR,51.445547477624,6.639752465771,42,97
467,"St. Bernhard-Hospital Kamp-Lintfort GmbH, Hauptstandort",VERFUEGBAR,51.492185739949996,6.51632380479,50,97
468,"Katholischen Karl-Leisner-Klinikum gGmbH ? Standort St.-Antonius Hospital Kleve, Hauptstandort",VERFUEGBAR,51.77330223318,6.13640820985,39,93
469,"Katholischen Karl-Leisner-Klinikum gGmbH, Standort Wilhelm-Anton-Hospital Goch, Hauptstandort",VERFUEGBAR,51.677209060473004,6.1812837124849995,45,95
470,"Katholischen Karl-Leisner-Klinikum gGmbH ? Standort Marienhospital Kevelaer, Hauptstandort",VERFUEGBAR,51.584051600129996,6.249994397213,42,95
471,"Helios Klinikum Krefeld gGmbH, Helios Klinikum Krefeld",VERFUEGBAR,51.319885882105,6.565841674346,55,92
472,"Krankenhaus Maria-Hilf Krefeld, Standort KH Maria-Hilf Krefeld",VERFUEGBAR,51.325714777822,6.584742799409,40,92
473,Malteser Krankenhaus St. Josefshospital,VERFUEGBAR,51.352860684367,6.648099660906,53,91
474,"Ludgerus-Kliniken Münster GmbH, Raphaelsklinik Münster",VERFUEGBAR,51.958990841457,7.630167961252,46,97
475,"St. Franziskus-Hospital GmbH, St. Franziskus-Hospital Münster",VERFUEGBAR,51.960632086638,7.648671448214,44,94
476,"Ev. Krankenhaus Johannisstift, Ev.  Krankenhaus Johannisstift",VERFUEGBAR,51.972621435458,7.624717712532999,46,94
477,Universitätsklinikum Münster,VERFUEGBAR,51.961204012648004,7.595886111849,62,93
478,"Ludgerus-Kliniken Münster GmbH, Clemenshospital Münster",VERFUEGBAR,51.932868281317994,7.614611148965,53,100
479,"Herz-Jesu Krankenhaus Münster-Hiltrup, Herz-Jesu-Krankenhaus Münster-Hiltrup",VERFUEGBAR,51.908610285858,7.634223461282001,57,95
480,Josephs-Hospital Warendorf,VERFUEGBAR,51.960420529706,8.002352893336,39,95
481,"Christophorus-Kliniken, Christophorus-Kliniken, Standort Dülmen",VERFUEGBAR,51.82741689930101,7.2801074983000005,36,97
482,"Maria-Josef-Hospital Greven GmbH, Maria-Josef-Hospital Greven",VERFUEGBAR,52.0885556168,7.610745817415,44,93
483,"Klinikum Rheine, Hauptstandort",VERFUEGBAR,52.276554096160005,7.424584150248999,64,91
484,"Euregio-Klinik Albert-Schweitzer-Straße  GmbH, Euregio-Klinik Albert-Schweitzer-Straße GmbH",VERFUEGBAR,52.442743762618,7.065397202969001,47,99
485,"UKM Marienhospital Steinfurt, UKM Marienhospital Steinfurt - Krankenhaus",VERFUEGBAR,52.126666137523,7.401268618896,52,97
486,"St. Antonius-Hospital Gronau, Hauptstandort",VERFUEGBAR,52.208308511611,7.020679950747,47,98
487,"Christophorus-Kliniken, Christophorus-Kliniken, Standort Coesfeld",VERFUEGBAR,51.944033404109,7.170287132394001,65,93
488,"St. Marien-Krankenhaus Ahaus-Stadtlohn-Vreden, St. Marien-Krankenhaus Ahaus",VERFUEGBAR,52.068804968382,6.992940545115,55,94
489,"St. Marien-Krankenhaus Ahaus-Stadtlohn-Vreden, Krankenhaus Maria-Hilf Stadtlohn",VERFUEGBAR,51.990980155958006,6.909105420145,56,96
490,"Christliches Kinderhospital Osnabrück GmbH, Christliches Kinderhospital Osnabrück - Hauptstandort",VERFUEGBAR,52.270038404085,8.053050398794,40,97
491,"Marienhospital Osnabrück, Hauptstandort",VERFUEGBAR,52.270250138102,8.054364144817999,60,99
492,"Klinikum Osnabrück GmbH, Hauptstandort",VERFUEGBAR,52.277359874648,8.003710107878,52,99
493,"Paracelsus-Klinik Osnabrück, PK Osnabrück",VERFUEGBAR,52.289221667237996,8.010202646256,50,97
494,"Schüchtermann-Schiller`sche Kliniken Bad Rothenfelde GmbH & Co. KG, Hauptstandort",VERFUEGBAR,52.112390966026,8.165302455409,37,99
495,"Christliches Klinikum Melle, Hauptstandort",VERFUEGBAR,52.198412712174,8.336137711985,60,94
496,Klinik Diepholz,VERFUEGBAR,52.610730424889,8.376811936494,60,96
497,"St. Marienhospital Vechta gemeinnützige GmbH, St. Marienhospital",VERFUEGBAR,52.725877094715,8.286903619701,53,100
498,"St. Franziskus-Hospital gemeinnützige GmbH, St. Franziskus-Hospital gGmbh",VERFUEGBAR,52.664677896575,8.241091489726,46,97
499,"Krankenhaus St. Elisabeth gemeinnützige GmbH, Damme",VERFUEGBAR,52.521027497434,8.194305516968,46,99
500,"Klinikum Ibbenbüren, Hauptstandort",VERFUEGBAR,52.278697336133,7.71369731423,53,93
501,"Niels-Stensen-Kliniken Bramsche, Hauptstandort",VERFUEGBAR,52.408978902809,7.985304772837,39,100
502,"Marienhospital Ankum-Bersenbrück, Hauptstandort",VERFUEGBAR,52.540904562921,7.874186217769001,64,94
503,"St. Josefs-Hospital Cloppenburg gGmbH, Notfallambulanz",VERFUEGBAR,52.847279569064,8.040354967052,43,94
504,"Krankenhaus Ludmillenstift, Hauptstandort",VERFUEGBAR,52.68881718678799,7.292885273687,44,96
505,"St.-Vinzenz-Hospital, Hauptstandort",VERFUEGBAR,52.670925614607,7.482884109004001,37,95
506,Hümmling Hospital Sögel,VERFUEGBAR,52.84370268767,7.519742622971999,61,98
507,Bonifatius Hospital Lingen gGmbH,VERFUEGBAR,52.52475656043,7.316118836369999,45,94
508,"Elisabeth-Krankenhaus Thuine, Hauptstandort",VERFUEGBAR,52.497606316962006,7.4886814355519995,50,93
509,"St. Hubertus-Stift GmbH, Hauptstandort",VERFUEGBAR,50.997881605295,6.576904606804,37,93
510,"St. Katharinen-Hospital GmbH, St. Katharinen-Hospital",VERFUEGBAR,50.923156178519,6.808630406881,61,97
511,"Marienhospital Brühl GmbH, Marienhospital Brühl",VERFUEGBAR,50.827334528491,6.900974035198,42,96
512,"Marien-Hospital Erftstadt-Frauenthal, Hauptstandort",VERFUEGBAR,50.807622935573995,6.809199571544,38,95
513,Dreifaltigkeits-Krankenhaus Wesseling,VERFUEGBAR,50.822334550067,6.986637890323,60,98
514,"St. Marien-Hospital, Hauptstandort",VERFUEGBAR,50.947320438694,6.962529659304,49,96
515,Krankenhaus der Augustinerinnen,VERFUEGBAR,50.9252131828,6.956298351288001,37,100
516,"St. Vinzenz-Hospital GmbH, St. Vinzenz-Hospital",VERFUEGBAR,50.967158829259006,6.946999669108,46,99
517,"Kliniken der Stadt Köln - Standort Riehl, Kliniken der Stadt Köln gGmbH - Kinderkrankenhaus Amsterdamer Strasse",VERFUEGBAR,50.962863088277,6.966712832418,60,99
518,"St. Agatha Krankenhaus, Hauptstandort",VERFUEGBAR,50.987307865398996,6.960581302774,49,97
519,"Heilig Geist-Krankenhaus GmbH, Hauptstandort",VERFUEGBAR,50.992215873468,6.923839330698001,60,95
520,Evangelisches Klinikum Köln Weyertal,VERFUEGBAR,50.927604092591,6.9250339865359996,51,97
521,"Malteser Krankenhaus St. Hildegardis Köln, Hauptstandort",VERFUEGBAR,50.931087953294,6.923667099327,45,92
522,"St. Elisabeth-Krankenhaus GmbH, Hauptstandort",VERFUEGBAR,50.923950221679,6.897683501293,59,98
523,Uniklinik Köln,VERFUEGBAR,50.923308887945005,6.917503255522,39,91
524,Evangelisches Krankenhaus Kalk gGmbH,VERFUEGBAR,50.941368283966,7.009345471842999,54,97
525,"Kliniken der Stadt Köln Standort Merheim, Krankenhaus Merheim",VERFUEGBAR,50.938275499264,7.053503966017,51,95
526,"Klinikum Leverkusen, Hauptstandort",VERFUEGBAR,51.031982481937,7.03340435015,42,95
527,"Katholische Kranken- und Pflegeeinrichtungen Leverkusen, St. Remigius Krankenhaus Opladen",VERFUEGBAR,51.068081221672,7.004953622818,62,97
528,"GFO Kliniken Rhein-Berg, Vinzenz Pallotti Hospital",VERFUEGBAR,50.961933953238,7.175029277932,55,99
529,Evangelisches Krankenhaus Bergisch Gladbach gGmbH,VERFUEGBAR,50.990031223958,7.1375491619439995,36,92
530,"GFO Kliniken Rhein-Berg, Marien-Krankenhaus",VERFUEGBAR,50.993831502511995,7.130590438974,45,100
531,"Kath. Stiftung Marienhospital Aachen, Marienhospital Aachen",VERFUEGBAR,50.762184453753996,6.095329105837999,62,92
532,"Universitätsklinikum Aachen AöR, Uniklinikum Aachen | Hauptgebäude",VERFUEGBAR,50.776221763856,6.043888092172001,59,100
533,Rhein-Maas Klinikum GmbH,VERFUEGBAR,50.815378420157,6.142893791330001,40,96
534,Eifelklinik St. Brigida,VERFUEGBAR,50.604975237755006,6.301682174271,48,93
535,"Bethlehem-Gesundheitszentrum Stolberg gGmbH, Hauptstandort",VERFUEGBAR,50.772767229216,6.229546201483999,38,92
536,Krankenhaus Düren gem. GmbH,VERFUEGBAR,50.808026333869,6.496521625668,50,96
537,"St. Augustinus Krankenhaus gGmbH, Krankenhaus",VERFUEGBAR,50.770354595772,6.4878811240030005,65,93
538,St. Elisabeth Krankenhaus Jülich,VERFUEGBAR,50.925637543601,6.363383710368001,62,91
539,St. Josef-Krankenhaus Linnich,VERFUEGBAR,50.976482277698004,6.268583822093,65,95
540,"Städtisches Krankenhaus Heinsberg GmbH, Hauptstandort",VERFUEGBAR,51.064831481362,6.094529807551,53,94
541,"LVR-Klinik Bonn, Kaiser-Karl-Ring 20, 53111 Bonn",VERFUEGBAR,50.745334121302996,7.089146018061,64,94
542,"Gemeinschaftskrankenhaus Bonn gGmbH, St. Petrus Krankenhaus",VERFUEGBAR,50.728404715690004,7.098663568595001,60,91
543,"GFO Kliniken Bonn, St. Marien",VERFUEGBAR,50.71673862348,7.093688177119,52,97
544,Universitätsklinikum Bonn,VERFUEGBAR,50.701534412031,7.102468227649,37,97
545,"Johanniter GmbH, Waldkrankenhaus, Waldkrankenhaus",VERFUEGBAR,50.682166967009,7.128063797918,43,97
546,"Neurologisches Rehabilitationszentrum Godeshöhe e.V. Akut-Frührehabilitation, Neurologisches Rehabilitationszentrum Godeshöhe e.V., Bonn - Bad Godesberg",VERFUEGBAR,50.682313124283,7.137630701,57,100
547,"GFO Kliniken Bonn, St. Josef",VERFUEGBAR,50.736054278457004,7.1182199567149995,43,99
548,"Verbund-KH Linz-Remagen, Krankenhaus Maria Stern Remagen",VERFUEGBAR,50.574032237416,7.233160257273999,41,98
549,"Marienhaus Klinikum im Kreis Ahrweiler, Krankenhaus Maria Hilf Bad Neuenahr - Ahrweiler",VERFUEGBAR,50.540898885544,7.127738043662,61,94
550,"Verbund-KH Linz-Remagen, Franziskus-Krankenhaus Linz",VERFUEGBAR,50.564475512922,7.318353250619,40,100
551,DRK Kamillus Klinik Asbach,VERFUEGBAR,50.667559140901005,7.424712896445,47,93
552,"GFO Kliniken Bonn, CURA Krankenhaus",VERFUEGBAR,50.647174836045,7.226161192956999,41,96
553,Helios Klinikum Siegburg,VERFUEGBAR,50.799011754736995,7.205887556011,43,94
554,Asklepios Klinik Sankt Augustin GmbH,VERFUEGBAR,50.775112638873,7.181260156458,53,93
555,"Kreiskrankenhaus Mechernich GmbH, Krankenhaus Mechernich",VERFUEGBAR,50.592774634704,6.650273859468,58,94
556,"Kreiskrankenhaus Mechernich GmbH, Krankenhaus Schleiden",VERFUEGBAR,50.533354073724006,6.486921429569,38,97
557,"Krankenhaus der Barmherzigen Brüder Trier, Trier",VERFUEGBAR,49.762079222288996,6.6406795978629996,58,94
558,St. Josef-Krankenhaus,VERFUEGBAR,49.657546805243996,6.948454767457,40,100
559,Kreiskrankenhaus St. Franziskus Saarburg GmbH,VERFUEGBAR,49.602610133012,6.537867307597,62,92
560,"Verbundkrankenhaus Bernkastel/Wittlich, Cusanus Krankenhaus Bernkastel-Kues",VERFUEGBAR,49.915374700308,7.062601838261,41,98
561,"Verbundkrankenhaus Bernkastel/Wittlich, St. Elisabeth Krankenhaus Wittlich",VERFUEGBAR,50.000546727589,6.892509050667,55,93
562,"Krankenhaus Maria Hilf, 54550 Daun, Krankenhaus Maria Hilf Daun",VERFUEGBAR,50.193447385422,6.833135604793,39,91
563,"Marienhaus Klinikum Eifel, Marienhaus Klinikum Eifel Gerolstein",VERFUEGBAR,50.226557196006006,6.665098428612,45,99
564,St. Joseph-Krankenhaus,VERFUEGBAR,50.21184269169001,6.4103958607210005,46,100
565,"Marienhaus Klinikum Eifel, Marienhaus Klinikum Eifel Bitburg",VERFUEGBAR,49.971704025861996,6.5269861217709995,62,98
566,"Katholisches Klinikum Mainz, Katholisches Klinkum Mainz (Hauptstandort)",VERFUEGBAR,49.989290260498,8.270441025642999,62,92
567,"Universitätsmedizin der Johannes Gutenberg-Universität Mainz, Hauptstandort UM",VERFUEGBAR,49.992949180831005,8.259165929903,48,99
568,Krankenhaus Ingelheim der Universitätsmedizin Mainz gGmbH,VERFUEGBAR,49.973712696393996,8.06949448579,39,100
569,"DRK-Krankenhaus Alzey, DRK Krankenhaus Alzey",VERFUEGBAR,49.746453779327,8.103998422557,47,92
570,"Heilig-Geist-Hospital Bingen gGmbH, Hauptstandort",VERFUEGBAR,49.968142241709,7.896952807887,63,100
571,"Hunsrück Klinik, kreuznacher diakonie",VERFUEGBAR,49.980434681352996,7.517382698134,46,92
572,"Diakonie Krankenhaus Kreuznacher Diakonie, Hauptstandort",VERFUEGBAR,49.836813030632,7.863286323845,63,96
573,Krankenhaus St. Marienwörth,VERFUEGBAR,49.84654639954,7.861477375063,57,98
574,Gesundheitszentrum Glantal,VERFUEGBAR,49.70655896432,7.677172601207,56,93
575,"Diakonie Krankenhaus Kreuznacher Diakonie, Standort Kirn",VERFUEGBAR,49.794769437106,7.456013755872999,42,97
576,"ESB Krankenhaus der Elisabeth-Stiftung, Walter-Bleicker-Platz, 55765 Birkenfeld, Elisabeth-Stiftung des DRK",VERFUEGBAR,49.645498061923,7.159804522926001,42,95
577,"Gemeinschaftsklinikum Mittelrhein gGmbH, Ev. Stift St. Martin",VERFUEGBAR,50.348885338485005,7.593954384311,41,100
578,"BundeswehrZentralkrankenhaus Koblenz, Hauptstandort",VERFUEGBAR,50.369985739731,7.541914701396,63,95
579,"Gemeinschaftsklinikum Mittelrhein gGmbH, Kemperhof",VERFUEGBAR,50.355980883861,7.564584195597,60,97
580,"Katholisches Klinikum Koblenz Montabaur gGmbH, Standort Koblenz",VERFUEGBAR,50.354271272720005,7.5871260836720005,57,97
581,"St. Elisabeth Krankenhaus Lahnstein, Standort St. Elisabeth Krankenhaus Lahnstein",VERFUEGBAR,50.305147190391,7.608741563331,39,96
582,"Katholische Kliniken Lahn, Standort Hufeland-Klinik",VERFUEGBAR,50.33391762045999,7.726969152835999,52,97
583,"Paracelsus-Klinik Bad Ems, Paracelsus Klinik Bad Ems",VERFUEGBAR,50.333869271015,7.724475503001,60,92
584,"Gemeinschaftsklinikum Mittelrhein gGmbH, Hl. Geist",VERFUEGBAR,50.232010868092004,7.587463438494999,42,91
585,"Marienhaus Klinikum   Bendorf - Neuwied - Waldbreitbach, Marienhaus Klinikum St. Josef",VERFUEGBAR,50.421492812941,7.576568841705001,57,98
586,"Evangelisches Krankenhaus Dierdorf/Selters gGmbH, Evangelischen Krankenhaus Dierdorf/Selters gGmbH Standort Selters",VERFUEGBAR,50.529176909233996,7.75884962095,37,100
587,"Evangelisches Krankenhaus Dierdorf/Selters gGmbH, Evangelischen Krankenhaus Dierdorf/Selters gGmbH Standort Dierdorf",VERFUEGBAR,50.548147638092004,7.66156564001,59,96
588,"Gemeinschaftsklinikum Mittelrhein gGmbH, Paulinenstift",VERFUEGBAR,50.202562830896,7.856328070147001,47,92
589,"Katholisches Klinikum Koblenz Montabaur gGmbH, Standort Montabaur",VERFUEGBAR,50.431311984528,7.831800375134,51,95
590,Herz-Jesu-Krankenhaus Dernbach,VERFUEGBAR,50.45252519932,7.784991019771,64,98
591,Rhein-Mosel-Fachklinik,VERFUEGBAR,50.428970325021,7.397550433866,36,99
592,"St. Nikolaus-Stiftshospital, St. Nikolaus-Stiftshospital GmbH",VERFUEGBAR,50.44037168914001,7.404745995981999,51,96
593,"Gemeinschaftsklinikum Mittelrhein gGmbH, St. Elisabeth",VERFUEGBAR,50.325516968830996,7.2182520031770006,45,99
594,Marienkrankenhaus Cochem,VERFUEGBAR,50.155737767425,7.179316520887,63,95
595,Klinikum Mittelmosel,VERFUEGBAR,50.023588586532,7.16760706895,44,97
596,"DRK- Kinderklinik Siegen gGmbH, DRK Kinderklinik gGmbH",VERFUEGBAR,50.884082549873,8.01902496818,47,100
597,"Kreisklinikum Siegen GmbH, Hauptstandort",VERFUEGBAR,50.903041288583005,8.020398795588,51,96
598,"Diakonie Klinikum GmbH, Diakonie Klinikum Bethesda",VERFUEGBAR,50.899588821645004,7.864717617631,49,95
599,VAMED Klinik Bad Berleburg,VERFUEGBAR,51.060568548165996,8.402625381873,55,98
600,"Fachkrankenhaus Kloster Grafschaft GmbH, Haupstandort",VERFUEGBAR,51.144133726251,8.325611114633,42,97
601,Helios Klinik Attendorn,VERFUEGBAR,51.125864188733,7.8970010876489996,55,96
602,"Katholisches Klinikum Südwestfalen, St. Martinus-Hospital",VERFUEGBAR,51.027457170596,7.846918344694,54,100
603,"DRK Krankenhaus Kirchen, Standort 1",VERFUEGBAR,50.806362446003,7.879177057771,49,92
604,"DRK Krankenhaus Altenkirchen-Hachenburg, Standort Altenkirchen",VERFUEGBAR,50.683290326913,7.630609452749,53,92
605,"DRK Krankenhaus Altenkirchen-Hachenburg, Standort Hachenburg",VERFUEGBAR,50.656886809616005,7.8308739065960005,62,98
606,"AGAPLESION Allgemeines Krankenhaus Hagen, Hauptstandort",VERFUEGBAR,51.354401750018,7.465771615489,45,95
607,"Kath. Krankenhaus Hagen gem. GmbH, St.-Josefs-Hospital",VERFUEGBAR,51.366996343179,7.466377258334,57,97
608,"Kath. Krankenhaus Hagen gem. GmbH, St.-Johannes-Hospital",VERFUEGBAR,51.395960807061,7.473506569895,61,92
609,"Ev. Krankenhaus Hagen-Haspe gGmbH, Ev. Krankenhaus Hagen-Haspe",VERFUEGBAR,51.347493351114,7.412241697393,43,95
610,Marienkrankenhaus Schwerte - Goethestraße,VERFUEGBAR,51.443761757032,7.56751853226,44,97
611,Marienkrankenhaus Schwerte - Schützenstraße,VERFUEGBAR,51.44465447559,7.574937522395,56,94
612,"Gemeinschaftskrankenhaus Herdecke, Gemeinschaftskrankenhaus Herdecke - Hauptstandort",VERFUEGBAR,51.411240450433,7.399306207903,40,95
613,"Helios Klinikum Schwelm GmbH, Helios Klinikum Schwelm",VERFUEGBAR,51.293446626116,7.311882555468,47,91
614,"Marien Hospital Witten, Hauptstandort",VERFUEGBAR,51.445242924722,7.337106049044,46,95
615,"Evangelische Krankenhausgemeinschaft Herne | Castrop-Rauxel gGmbH, Evangelisches Krankenhaus Witten gGmbH",VERFUEGBAR,51.445604014753,7.343875944598,65,95
616,Klinikum Lüdenscheid,VERFUEGBAR,51.207207716955004,7.662002027018,61,93
617,"Katholische Kliniken im Märkischen Kreis, Iserlohn, St.  Elisabeth-Hospital",VERFUEGBAR,51.379446846857995,7.690690398249,41,93
618,AGAPLESION Ev. Krankenhaus Bethanien Iserlohn gGmbH,VERFUEGBAR,51.371162515304,7.693295359595,58,100
619,Lungenklinik Hemer,VERFUEGBAR,51.392817822432,7.765916168673001,62,96
620,"Paracelsus-Klinik Hemer GmbH, Hauptstandort",VERFUEGBAR,51.389902586529,7.757626533312,39,94
621,"Katholische Kliniken im Märkischen Kreis, Iserlohn, St. Vincenz Krankenhaus",VERFUEGBAR,51.437039059256,7.799816608494001,42,100
622,Stadtklinik Werdohl,VERFUEGBAR,51.25685413055199,7.765009582026,61,94
623,"Krankenhaus Plettenberg gGmbH, Hauptstandort",VERFUEGBAR,51.213421488723,7.886490616947,44,96
624,"Evangelisches Krankenhaus Hamm gGmbH, Hauptstandort",VERFUEGBAR,51.669985145686,7.8270758986310005,47,94
625,"St. Marien-Hospital Hamm, Standort Nassauerstraße",VERFUEGBAR,51.679442701881,7.818176329119999,50,94
626,"St. Marien-Hospital Hamm, Standort Knappenstraße",VERFUEGBAR,51.688147596123,7.849152302952,57,97
627,"St. Barbara Klinik Hamm GmbH, St. Barbara Klinik Hamm-Heessen",VERFUEGBAR,51.708239818582,7.841748386612999,47,94
628,"St. Barbara Klinik Hamm GmbH, St. Josef-Krankenhaus Hamm-Bockum-Hövel",VERFUEGBAR,51.698388463495,7.762981832011,60,97
629,"St. Franziskus-Hospital Ahlen, Hauptstandort",VERFUEGBAR,51.766903288376,7.885046347972,53,97
630,"St. Elisabeth-Hospital Beckum GmbH, St. Elisabeth-Hospital Beckum, Hauptstandort",VERFUEGBAR,51.752705853631,8.038717746604,58,100
631,"Sankt Elisabeth Hospital GmbH, Marienhospital Oelde",VERFUEGBAR,51.82150299437,8.142901182191,41,100
632,"St. Marien-Hospital Lüdinghausen GmbH, St. Marien-Hospital Lüdinghausen",VERFUEGBAR,51.769245786699,7.447484314425,41,91
633,"Katholisches Klinikum Lünen/Werne, St. Christophorus-Krankenhaus",VERFUEGBAR,51.675433045667,7.617157436907001,49,95
634,"Katharinen-Hospital Unna, Hauptstandort",VERFUEGBAR,51.536822691397,7.685192272083,47,96
635,Stiftung Evangelisches Krankenhaus Unna,VERFUEGBAR,51.533209203115995,7.677076578075,48,100
636,"Mariannen-Hospital Werl, Hauptstandort",VERFUEGBAR,51.551900877761,7.906319081767,49,97
637,"Klinikum Stadt Soest gGmbH, Senator-Schwartz-Ring 8, Soest",VERFUEGBAR,51.56514471403,8.078618824466,47,99
638,"Marienkrankenhaus Soest, Hauptstandort",VERFUEGBAR,51.574740833218,8.112001597865,51,95
639,"Ev. Krankenhaus Lippstadt, Hauptstandort",VERFUEGBAR,51.684975604102,8.343058414757,49,99
640,Krankenhaus Maria Hilf GmbH,VERFUEGBAR,51.44174889685,8.355967283233,58,98
641,"Hospital zum Hl. Geist gem. GmbH, Hospital zum Hl. Geist Geseke",VERFUEGBAR,51.636610116366995,8.510186254961999,43,95
642,"Klinikum Hochsauerland GmbH, St. Johannes-Hospital",VERFUEGBAR,51.450287896119,7.963873922808,54,99
643,"Klinikum Hochsauerland GmbH, Marienhospital Arnsberg",VERFUEGBAR,51.401056819865,8.072198823089998,62,100
644,"Klinikum Hochsauerland GmbH, St. Walburga-Krankenhaus",VERFUEGBAR,51.342984070712006,8.288781434289,40,97
645,"Städt. Krankenhaus Maria-Hilf Brilon gGmbH, Hauptstandort",VERFUEGBAR,51.386305232602,8.582633323967,51,94
646,Elisabeth-Klinik gGmbH - Olsberg,VERFUEGBAR,51.356929320462,8.47346520437,50,94
647,"Hospital zum Heiligen Geist, Hauptstandort",VERFUEGBAR,50.110599796772,8.692803740496,48,96
648,Frankfurter Rotkreuz-Kliniken,VERFUEGBAR,50.116926902221,8.697997212394,39,92
649,"Bürgerhospital und Clementine Kinderhospital gGmbH, Bürgerhospital Frankfurt am Main",VERFUEGBAR,50.130737378619,8.686793088782,48,91
650,"AGAPLESION Frankfurter Diakonie Kliniken gGmbH, AGAPLESION Bethanien Krankenhaus",VERFUEGBAR,50.129181298268,8.706432759744999,63,98
651,BG Unfallklinik Frankfurt am Main gGmbH,VERFUEGBAR,50.145647564691,8.709681129567,42,97
652,"AGAPLESION Frankfurter Diakonie Kliniken gGmbH, AGAPLESION Markus Krankenhaus",VERFUEGBAR,50.136725666604995,8.64739197491,36,100
653,Universitätsklinikum Frankfurt,VERFUEGBAR,50.095428562176,8.661681175363,45,91
654,"Kerckhoff-Klinik gGmbH, Hauptstandort",VERFUEGBAR,50.369806962177,8.742328226558,38,100
